phi,nonlinear,beta_hat,within_R2_proxy,within_R2_uniform
0.0,False,0.883,0.2874,0.0
0.1,False,0.8,0.2449,0.0
0.2,False,0.716,0.1264,0.0
0.3,False,0.637,0.0408,0.0
0.4,False,0.578,0.0199,0.0
0.5,False,0.461,0.0084,0.0
0.6,False,0.421,0.007,0.0
0.7,False,0.339,-0.0003,0.0
0.8,False,0.185,0.0003,0.0
0.9,False,0.176,0.0005,0.0
1.0,False,-0.0,0.0,0.0
0.0,True,0.45,0.1083,0.0
0.1,True,0.423,0.0697,0.0
0.2,True,0.36,0.0185,0.0
0.3,True,0.348,0.0042,0.0
0.4,True,0.273,0.0076,0.0
0.5,True,0.248,-0.002,0.0
0.6,True,0.222,-0.0043,0.0
0.7,True,0.197,0.0015,0.0
0.8,True,0.11,-0.0006,0.0
0.9,True,0.165,-0.0002,0.0
1.0,True,0.02,-0.0001,0.0
